,Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+,Year
3,4,Ian Kennedy,ARI,76.0,1.0,34%,4.8,21,4,0.84,2.88,33,33,0,1,1,0,222.0,186,73,71,19,55,0,198,9,1,11,900,1.086,137,2011
4,5,Cole Hamels,PHI,17.0,0.0,8%,6.4,14,9,0.609,2.79,32,31,0,3,0,0,216.0,169,68,67,19,44,2,194,5,3,3,850,0.986,137,2011
5,6,Tim Lincecum,SFG,7.0,0.0,3%,3.7,13,14,0.481,2.74,33,33,0,1,1,0,217.0,176,74,66,15,86,5,220,6,0,9,900,1.207,127,2011
6,7,Yovani Gallardo,MIL,5.0,0.0,2%,2.3,17,10,0.63,3.52,33,33,0,1,1,0,207.1,193,92,81,27,59,1,207,1,0,12,865,1.215,112,2011
7,8,Matt Cain,SFG,3.0,0.0,1%,3.1,12,11,0.522,2.88,33,33,0,1,0,0,221.2,177,82,71,9,63,5,179,9,0,4,907,1.083,121,2011
8,9,John Axford,MIL,2.0,0.0,1%,2.3,2,2,0.5,1.95,74,0,63,0,0,46,73.2,59,19,16,4,25,1,86,0,0,8,305,1.14,202,2011
9,9,Craig Kimbrel,ATL,2.0,0.0,1%,2.5,4,3,0.571,2.1,79,0,64,0,0,46,77.0,48,19,18,3,32,1,127,1,0,4,306,1.039,183,2011
10,11,Madison Bumgarner,SFG,1.0,0.0,0%,1.9,13,13,0.5,3.21,33,33,0,0,0,0,204.2,202,82,73,12,46,5,191,5,1,0,844,1.212,109,2011
11,11,Ryan Vogelsong,SFG,1.0,0.0,0%,2.7,13,7,0.65,2.71,30,28,1,1,1,0,179.2,164,62,54,15,61,6,139,5,1,1,752,1.252,129,2011
0,1,R.A. Dickey,NYM,209.0,27.0,93%,5.7,20,6,0.769,2.73,34,33,1,5,3,0,233.2,192,78,71,24,54,2,230,9,1,4,927,1.053,139,2012
1,2,Clayton Kershaw,LAD,96.0,2.0,43%,6.4,14,9,0.609,2.53,33,33,0,2,2,0,227.2,170,70,64,16,63,5,229,5,2,6,901,1.023,150,2012
2,3,Gio Gonzalez,WSN,93.0,1.0,42%,5.0,21,8,0.724,2.89,32,32,0,2,1,0,199.1,149,69,64,9,76,3,207,5,1,10,822,1.129,138,2012
3,4,Johnny Cueto,CIN,75.0,1.0,33%,5.2,19,9,0.679,2.78,33,33,0,2,0,0,217.0,205,73,67,15,49,5,170,12,3,1,888,1.171,148,2012
4,5,Craig Kimbrel,ATL,41.0,1.0,18%,3.2,3,1,0.75,1.01,63,0,56,0,0,42,62.2,27,7,7,3,14,0,116,2,0,5,231,0.654,399,2012
5,6,Matt Cain,SFG,22.0,0.0,10%,3.9,16,5,0.762,2.79,32,32,0,2,2,0,219.1,177,73,68,21,51,1,193,9,0,8,876,1.04,126,2012
6,7,Kyle Lohse,STL,6.0,0.0,3%,4.0,16,3,0.842,2.86,33,33,0,0,0,0,211.0,192,74,67,19,38,1,143,4,0,1,864,1.09,133,2012
7,8,Aroldis Chapman,CIN,1.0,0.0,0%,3.4,5,5,0.5,1.51,68,0,52,0,0,38,71.2,35,13,12,4,23,0,122,4,0,4,276,0.809,274,2012
8,8,Cole Hamels,PHI,1.0,0.0,0%,4.5,17,6,0.739,3.05,31,31,0,2,2,0,215.1,190,80,73,24,52,3,216,3,2,3,867,1.124,132,2012
0,1,Clayton Kershaw,LAD,207.0,29.0,99%,8.1,16,9,0.64,1.83,33,33,0,3,2,0,236.0,164,55,48,11,52,2,232,3,2,12,908,0.915,194,2013
1,2,Adam Wainwright,STL,86.0,1.0,41%,6.3,19,9,0.679,2.94,34,34,0,5,2,0,241.2,223,83,79,15,35,2,219,6,0,5,956,1.068,127,2013
2,3,Jose Fernandez,MIA,62.0,0.0,30%,6.2,12,6,0.667,2.19,28,28,0,0,0,0,172.2,111,47,42,10,58,5,187,5,1,3,681,0.979,176,2013
3,4,Matt Harvey,NYM,39.0,0.0,19%,5.3,9,5,0.643,2.27,26,26,0,1,1,0,178.1,135,46,45,7,31,1,191,4,0,2,690,0.931,157,2013
4,4,Craig Kimbrel,ATL,39.0,0.0,19%,3.1,4,3,0.571,1.21,68,0,60,0,0,50,67.0,39,10,9,4,20,2,98,3,0,3,258,0.881,311,2013
5,6,Cliff Lee,PHI,32.0,0.0,15%,6.6,14,8,0.636,2.87,31,31,0,2,1,0,222.2,193,77,71,22,32,0,222,4,0,1,876,1.01,131,2013
6,7,Jordan Zimmermann,WSN,21.0,0.0,10%,3.5,19,9,0.679,3.25,32,32,0,4,2,0,213.1,192,81,77,19,40,0,161,7,0,3,865,1.088,116,2013
7,8,Zack Greinke,LAD,19.0,0.0,9%,4.3,15,4,0.789,2.63,28,28,0,1,1,0,177.2,152,54,52,13,46,1,148,7,0,5,717,1.114,135,2013
8,9,Madison Bumgarner,SFG,3.0,0.0,1%,4.0,13,9,0.591,2.77,31,31,0,0,0,0,201.1,146,68,62,15,62,6,199,6,0,6,803,1.033,124,2013
9,9,Francisco Liriano,PIT,3.0,0.0,1%,3.3,16,8,0.667,3.02,26,26,0,2,0,0,161.0,134,54,54,9,63,0,163,0,2,7,666,1.224,118,2013
0,1,Clayton Kershaw,LAD,210.0,30.0,100%,7.7,21,3,0.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,0.857,197,2014
1,2,Johnny Cueto,CIN,112.0,0.0,53%,6.6,20,9,0.69,2.25,34,34,0,4,2,0,243.2,169,69,61,22,65,2,242,15,1,1,961,0.96,163,2014
2,3,Adam Wainwright,STL,97.0,0.0,46%,6.1,20,9,0.69,2.38,32,32,0,5,3,0,227.0,184,64,60,10,50,5,179,7,1,4,898,1.031,153,2014
3,4,Madison Bumgarner,SFG,28.0,0.0,13%,3.7,18,10,0.643,2.98,33,33,0,4,2,0,217.1,194,81,72,21,43,3,219,6,1,4,873,1.09,116,2014
4,5,Jordan Zimmermann,WSN,25.0,0.0,12%,4.7,14,5,0.737,2.66,32,32,0,3,2,0,199.2,185,67,59,13,29,0,182,6,0,4,800,1.072,141,2014
5,6,Cole Hamels,PHI,17.0,0.0,8%,6.4,9,9,0.5,2.46,30,30,0,0,0,0,204.2,176,60,56,14,59,3,198,8,1,6,829,1.148,152,2014
6,7,Zack Greinke,LAD,6.0,0.0,3%,4.5,17,8,0.68,2.71,32,32,0,0,0,0,202.1,190,69,61,19,43,3,207,2,0,12,821,1.152,129,2014
7,8,Doug Fister,WSN,5.0,0.0,2%,4.4,16,6,0.727,2.41,25,25,0,1,1,0,164.0,153,52,44,18,24,0,98,7,0,5,662,1.079,155,2014
8,9,Jake Arrieta,CHC,3.0,0.0,1%,5.3,10,5,0.667,2.53,25,25,0,1,1,0,156.2,114,46,44,5,41,2,167,3,0,8,614,0.989,150,2014
9,9,Craig Kimbrel,ATL,3.0,0.0,1%,2.5,0,3,0.0,1.61,63,0,54,0,0,47,61.2,30,13,11,2,26,0,95,2,0,6,244,0.908,223,2014
10,9,Stephen Strasburg,WSN,3.0,0.0,1%,3.3,14,11,0.56,3.14,34,34,0,0,0,0,215.0,198,86,75,23,43,4,242,5,0,7,868,1.121,119,2014
11,12,Henderson Alvarez III,MIA,1.0,0.0,0%,4.7,12,7,0.632,2.65,30,30,0,3,3,0,187.0,198,65,55,14,33,3,111,8,0,4,772,1.235,140,2014
0,1,Jake Arrieta,CHC,169.0,17.0,80%,8.3,22,6,0.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,0.865,215,2015
1,2,Zack Greinke,LAD,147.0,10.0,70%,8.9,19,3,0.864,1.66,32,32,0,1,0,0,222.2,148,43,41,14,40,1,200,5,0,7,843,0.844,222,2015
2,3,Clayton Kershaw,LAD,101.0,3.0,48%,7.3,16,7,0.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,0.881,173,2015
3,4,Gerrit Cole,PIT,40.0,0.0,19%,4.3,19,8,0.704,2.6,32,32,0,0,0,0,208.0,183,71,60,11,44,1,202,10,0,7,832,1.091,149,2015
4,5,Max Scherzer,WSN,32.0,0.0,15%,6.9,14,12,0.538,2.79,33,33,0,4,3,0,228.2,176,74,71,27,34,2,276,5,1,10,899,0.918,142,2015
5,6,Madison Bumgarner,SFG,8.0,0.0,4%,5.0,18,9,0.667,2.93,32,32,0,4,2,0,218.1,181,73,71,21,39,2,234,7,0,1,869,1.008,131,2015
6,7,Jacob deGrom,NYM,7.0,0.0,3%,5.2,14,8,0.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,0.979,149,2015
7,8,Mark Melancon,PIT,5.0,0.0,2%,1.8,3,2,0.6,2.23,78,0,63,0,0,51,76.2,57,22,19,4,14,2,62,2,0,3,293,0.926,174,2015
8,9,John Lackey,STL,1.0,0.0,0%,5.8,13,10,0.565,2.77,33,33,0,1,0,0,218.0,211,71,67,21,53,5,175,4,3,5,896,1.211,142,2015
0,1,Max Scherzer,WSN,192.0,25.0,91%,6.2,20,7,0.741,2.96,34,34,0,1,0,0,228.1,165,77,75,31,56,2,284,6,1,2,902,0.968,144,2016
1,2,Jon Lester,CHC,102.0,1.0,49%,5.6,19,5,0.792,2.44,32,32,0,2,0,0,202.2,154,57,55,21,52,0,197,6,0,4,796,1.016,171,2016
2,3,Kyle Hendricks,CHC,85.0,2.0,40%,5.4,16,8,0.667,2.13,31,30,0,2,1,0,190.0,142,53,45,15,44,3,170,8,0,5,745,0.979,196,2016
3,4,Madison Bumgarner,SFG,46.0,0.0,22%,4.8,15,9,0.625,2.74,34,34,0,4,1,0,226.2,179,79,69,26,54,0,251,8,1,4,912,1.028,146,2016
4,5,Clayton Kershaw,LAD,30.0,2.0,14%,5.8,12,4,0.75,1.69,21,21,0,3,3,0,149.0,97,31,28,8,11,1,172,2,3,5,544,0.725,237,2016
5,6,Johnny Cueto,SFG,19.0,0.0,9%,5.5,18,5,0.783,2.79,32,32,0,5,2,0,219.2,195,71,68,15,45,1,198,8,1,3,881,1.093,144,2016
6,7,Jose Fernandez,MIA,18.0,0.0,9%,4.4,16,8,0.667,2.86,29,29,0,0,0,0,182.1,149,63,58,13,55,6,253,6,1,9,737,1.119,137,2016
7,8,Noah Syndergaard,NYM,15.0,0.0,7%,5.0,14,9,0.609,2.6,31,30,0,0,0,0,183.2,168,61,53,11,43,2,218,2,1,10,744,1.149,155,2016
8,9,Jake Arrieta,CHC,2.0,0.0,1%,3.8,18,8,0.692,3.1,31,31,0,1,1,0,197.1,138,72,68,16,76,1,190,6,0,16,795,1.084,135,2016
9,10,Tanner Roark,WSN,1.0,0.0,0%,5.5,16,10,0.615,2.83,34,33,0,0,0,0,210.0,173,72,66,17,73,4,172,13,1,6,855,1.171,151,2016
0,1,Max Scherzer,WSN,201.0,27.0,96%,7.2,16,6,0.727,2.51,31,31,0,2,0,0,200.2,126,62,56,22,55,2,268,11,0,4,780,0.902,178,2017
1,2,Clayton Kershaw,LAD,126.0,3.0,60%,4.9,18,4,0.818,2.31,27,27,0,1,0,0,175.0,136,49,45,23,30,0,202,0,2,4,679,0.949,179,2017
2,3,Stephen Strasburg,WSN,81.0,0.0,39%,6.3,15,4,0.789,2.52,28,28,0,1,1,0,175.1,131,55,49,13,47,5,204,7,0,3,701,1.015,178,2017
3,4,Zack Greinke,ARI,52.0,0.0,25%,5.7,17,7,0.708,3.2,32,32,0,1,0,0,202.1,172,80,72,25,45,0,215,0,0,12,801,1.072,147,2017
4,5,Kenley Jansen,LAD,22.0,0.0,10%,3.0,5,0,1.0,1.32,65,0,57,0,0,41,68.1,44,11,10,5,7,0,109,2,1,2,258,0.746,315,2017
5,6,Gio Gonzalez,WSN,18.0,0.0,9%,6.5,15,9,0.625,2.96,32,32,0,0,0,0,201.0,158,69,66,21,79,5,188,7,0,7,827,1.179,152,2017
6,7,Robbie Ray,ARI,6.0,0.0,3%,4.7,15,5,0.75,2.89,28,28,0,1,1,0,162.0,116,57,52,23,71,3,218,5,0,8,665,1.154,163,2017
7,8,Jacob deGrom,NYM,2.0,0.0,1%,4.2,15,10,0.6,3.53,31,31,0,1,0,0,201.1,180,87,79,28,59,5,239,2,0,7,827,1.187,117,2017
8,9,Jimmy Nelson,MIL,1.0,0.0,0%,3.3,12,6,0.667,3.49,29,29,0,1,0,0,175.1,171,75,68,16,48,1,199,9,1,6,728,1.249,126,2017
9,9,Alex Wood,LAD,1.0,0.0,0%,3.4,16,3,0.842,2.72,27,25,0,0,0,0,152.1,123,50,46,15,38,6,151,6,0,2,614,1.057,152,2017
0,1,Jacob deGrom,NYM,207.0,29.0,99%,9.5,10,9,0.526,1.7,32,32,0,1,0,0,217.0,152,48,41,10,46,3,269,5,0,2,835,0.912,218,2018
1,2,Max Scherzer,WSN,123.0,1.0,59%,7.9,18,7,0.72,2.53,33,33,0,2,1,0,220.2,150,66,62,23,51,4,300,12,1,4,866,0.911,168,2018
2,3,Aaron Nola,PHI,86.0,0.0,41%,9.7,17,6,0.739,2.37,33,33,0,0,0,0,212.1,149,57,56,17,58,3,224,7,1,4,831,0.975,173,2018
3,4,Kyle Freeland,COL,49.0,0.0,23%,7.7,17,7,0.708,2.85,33,33,0,0,0,0,202.1,182,64,64,17,70,2,173,6,0,2,844,1.245,166,2018
4,5,Patrick Corbin,ARI,23.0,0.0,11%,4.4,11,7,0.611,3.15,33,33,0,1,1,0,200.0,162,70,70,15,48,3,246,5,0,8,800,1.05,133,2018
5,6,Miles Mikolas,STL,13.0,0.0,6%,5.0,18,4,0.818,2.83,32,32,0,1,1,0,200.2,186,70,63,16,29,4,146,7,1,2,808,1.071,137,2018
6,7,Josh Hader,MIL,4.0,0.0,2%,2.1,6,1,0.857,2.43,55,0,14,0,0,12,81.1,36,23,22,9,30,0,143,1,1,0,306,0.811,168,2018
7,8,Mike Foltynewicz,ATL,3.0,0.0,1%,4.2,13,10,0.565,2.85,31,31,0,2,1,0,183.0,130,65,58,17,68,3,202,6,2,7,744,1.082,143,2018
8,9,Jon Lester,CHC,2.0,0.0,1%,2.7,18,6,0.75,3.32,32,32,0,0,0,0,181.2,174,75,67,24,64,1,149,6,0,4,761,1.31,125,2018
0,1,Jacob deGrom,NYM,207.0,29.0,99%,7.2,11,8,0.579,2.43,32,32,0,0,0,0,204.0,154,59,55,19,44,1,255,7,0,2,804,0.971,169,2019
1,2,Hyun Jin Ryu,LAD,88.0,1.0,42%,5.1,14,5,0.737,2.32,29,29,0,1,1,0,182.2,160,53,47,17,24,2,163,4,0,0,723,1.007,179,2019
2,3,Max Scherzer,WSN,72.0,0.0,34%,5.2,11,7,0.611,2.92,27,27,0,0,0,0,172.1,144,59,56,18,33,2,243,7,0,0,693,1.027,154,2019
3,4,Jack Flaherty,STL,69.0,0.0,33%,5.8,11,8,0.579,2.75,33,33,0,0,0,0,196.1,135,62,60,25,55,2,231,7,0,6,772,0.968,152,2019
4,5,Stephen Strasburg,WSN,53.0,0.0,25%,5.6,18,6,0.75,3.32,33,33,0,0,0,0,209.0,161,79,77,24,56,4,251,10,0,8,841,1.038,135,2019
5,6,Mike Soroka,ATL,9.0,0.0,4%,6.1,13,4,0.765,2.68,29,29,0,0,0,0,174.2,153,56,52,14,41,1,142,7,0,3,701,1.111,171,2019
6,7,Sonny Gray,CIN,4.0,0.0,2%,6.2,11,8,0.579,2.87,31,31,0,0,0,0,175.1,122,59,56,17,68,1,205,7,1,7,708,1.084,162,2019
7,8,Clayton Kershaw,LAD,3.0,0.0,1%,3.3,16,5,0.762,3.03,29,28,0,0,0,0,178.1,145,63,60,28,41,0,189,2,1,7,706,1.043,137,2019
8,9,Walker Buehler,LAD,2.0,0.0,1%,2.3,14,4,0.778,3.26,30,30,0,2,0,0,182.1,153,77,66,20,37,0,215,7,0,4,737,1.042,127,2019
9,9,Kirby Yates,SDP,2.0,0.0,1%,3.0,0,5,0.0,1.19,60,0,51,0,0,41,60.2,41,14,8,2,13,1,101,7,0,2,243,0.89,354,2019
10,11,Patrick Corbin,WSN,1.0,0.0,0%,5.0,14,7,0.667,3.25,33,33,0,1,1,0,202.0,169,81,73,24,70,2,238,3,0,4,835,1.183,138,2019
0,1,Trevor Bauer,CIN,201.0,27.0,96%,3.0,5,4,0.556,1.73,11,11,0,2,2,0,73.0,41,17,14,9,17,1,100,3,0,3,278,0.795,284,2020
1,2,Yu Darvish,CHC,123.0,3.0,59%,2.8,8,3,0.727,2.01,12,12,0,0,0,0,76.0,59,18,17,5,14,1,93,2,0,3,297,0.961,224,2020
2,3,Jacob deGrom,NYM,89.0,0.0,42%,2.6,4,2,0.667,2.38,12,12,0,0,0,0,68.0,47,21,18,7,18,0,104,0,0,4,268,0.956,180,2020
3,4,Dinelson Lamet,SDP,57.0,0.0,27%,2.3,3,1,0.75,2.09,12,12,0,0,0,0,69.0,39,18,16,5,20,0,93,4,0,1,267,0.855,201,2020
4,5,Max Fried,ATL,15.0,0.0,7%,2.9,7,0,1.0,2.25,11,11,0,0,0,0,56.0,42,14,14,2,19,0,50,4,1,1,224,1.089,208,2020
5,6,Corbin Burnes,MIL,12.0,0.0,6%,2.1,4,1,0.8,2.11,12,9,2,0,0,0,59.2,37,15,14,2,24,0,88,3,0,5,240,1.022,216,2020
6,7,Aaron Nola,PHI,3.0,0.0,1%,2.2,5,5,0.5,3.28,12,12,0,2,1,0,71.1,54,31,26,9,23,2,96,2,0,1,289,1.079,137,2020
7,7,Devin Williams,MIL,3.0,0.0,1%,1.3,4,1,0.8,0.33,22,0,1,0,0,0,27.0,8,4,1,1,9,0,53,1,0,3,100,0.63,1375,2020
8,9,Zac Gallen,ARI,2.0,0.0,1%,2.5,3,2,0.6,2.75,12,12,0,0,0,0,72.0,55,24,22,9,25,0,82,2,0,4,291,1.111,164,2020
9,9,Kyle Hendricks,CHC,2.0,0.0,1%,2.0,6,5,0.545,2.88,12,12,0,1,1,0,81.1,73,26,26,10,8,1,64,1,0,1,315,0.996,156,2020
10,9,Clayton Kershaw,LAD,2.0,0.0,1%,1.8,6,2,0.75,2.16,10,10,0,0,0,0,58.1,41,18,14,8,8,0,62,1,0,0,221,0.84,202,2020
11,12,Zack Wheeler,PHI,1.0,0.0,0%,2.8,4,2,0.667,2.92,11,11,0,0,0,0,71.0,67,26,23,3,16,2,53,7,0,0,288,1.169,154,2020
0,1,Corbin Burnes,MIL,151.0,12.0,72%,5.6,11,5,0.688,2.43,28,28,0,0,0,0,167.0,123,47,45,7,34,0,234,6,0,5,657,0.94,170,2021
1,2,Zack Wheeler,PHI,141.0,12.0,67%,7.5,14,10,0.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,1.008,150,2021
2,3,Max Scherzer,TOT,113.0,6.0,54%,5.9,15,4,0.789,2.46,30,30,0,1,0,0,179.1,119,53,49,23,36,0,236,10,0,2,693,0.864,167,2021
3,4,Walker Buehler,LAD,70.0,0.0,33%,6.6,16,4,0.8,2.47,33,33,0,0,0,0,207.2,149,61,57,19,52,2,212,6,0,5,815,0.968,171,2021
4,5,Brandon Woodruff,MIL,21.0,0.0,10%,5.6,9,10,0.474,2.56,30,30,0,0,0,0,179.1,130,54,51,18,43,0,211,7,0,2,708,0.965,161,2021
5,6,Kevin Gausman,SFG,7.0,0.0,3%,5.1,14,6,0.7,2.81,33,33,0,0,0,0,192.0,150,66,60,20,50,1,227,4,0,7,775,1.042,147,2021
6,7,Julio Urias,LAD,3.0,0.0,1%,4.4,20,3,0.87,2.96,32,32,0,0,0,0,185.2,151,67,61,19,38,3,195,7,1,2,745,1.018,143,2021
7,7,Adam Wainwright,STL,3.0,0.0,1%,3.6,17,7,0.708,3.05,32,32,0,3,1,0,206.1,168,72,70,21,50,3,174,9,1,4,828,1.057,128,2021
8,9,Jacob deGrom,NYM,1.0,0.0,0%,4.4,7,2,0.778,1.08,15,15,0,1,1,0,92.0,40,14,11,6,11,0,146,1,0,0,324,0.554,373,2021
